# Opcode handler mappings - 2244 handlers
# Format: opcode_id (decimal) | opcode_id (hex) | handler_address

 166 | 0x00a6 | 0x0043aa00
 167 | 0x00a7 | 0x00361fe0
 168 | 0x00a8 | 0x0035a060
 169 | 0x00a9 | 0x0038baf0
 170 | 0x00aa | 0x0038e800
 171 | 0x00ab | 0x003914a0
 172 | 0x00ac | 0x0043d2f0
 173 | 0x00ad | 0x00358620
 174 | 0x00ae | 0x00382cd0
 175 | 0x00af | 0x0035f760
 176 | 0x00b0 | 0x00438850
 177 | 0x00b1 | 0x00397240
 178 | 0x00b2 | 0x0037a9c0
 179 | 0x00b3 | 0x00390b00
 180 | 0x00b4 | 0x00393b90
 181 | 0x00b5 | 0x003bf4d0
 182 | 0x00b6 | 0x00427dc0
 183 | 0x00b7 | 0x00387e90
 184 | 0x00b8 | 0x003d94b0
 185 | 0x00b9 | 0x00428430
 186 | 0x00ba | 0x003837c0
 187 | 0x00bb | 0x003bf850
 188 | 0x00bc | 0x003c38b0
 189 | 0x00bd | 0x004285f0
 190 | 0x00be | 0x0038e720
 191 | 0x00bf | 0x00383d70
 192 | 0x00c0 | 0x003bee50
 193 | 0x00c1 | 0x00359e20
 194 | 0x00c2 | 0x00383670
 195 | 0x00c3 | 0x003bd8d0
 196 | 0x00c4 | 0x00398c80
 197 | 0x00c5 | 0x003d91e0
 198 | 0x00c6 | 0x003d02e0
 199 | 0x00c7 | 0x00399310
 200 | 0x00c8 | 0x00438d00
 201 | 0x00c9 | 0x003c3a70
 202 | 0x00ca | 0x00382330
 203 | 0x00cb | 0x00372160
 204 | 0x00cc | 0x00375110
 205 | 0x00cd | 0x0035d470
 206 | 0x00ce | 0x0035a810
 207 | 0x00cf | 0x00358ad0
 208 | 0x00d0 | 0x004388d0
 209 | 0x00d1 | 0x003c04e0
 210 | 0x00d2 | 0x00370670
 211 | 0x00d3 | 0x00389f60
 212 | 0x00d4 | 0x0037a580
 213 | 0x00d5 | 0x003752e0
 214 | 0x00d6 | 0x003696f0
 215 | 0x00d7 | 0x00384f50
 216 | 0x00d8 | 0x00385880
 217 | 0x00d9 | 0x00380770
 218 | 0x00da | 0x0039a850
 219 | 0x00db | 0x00386bc0
