kind	subject	old	note
ANCHOR	OMapSquare.LOCATION_CONTAINERS	old=0xeb80	anchor-not-located
ANCHOR	OPathingEntity.HITMARKS_AND_HEADBARS	old=0xef8	recipe-error: back_scan not found for jag::HitmarksAndHeadbars::AddHeadbar
ANCHOR	OClient.NPC_MANAGER	old=0x194b8	manager-class-no-consensus:jag::NPCList
ANCHOR	OClient.CONNECTION_MANAGER	old=0x19440	manager-class-no-consensus:jag::ConnectionManager
ANCHOR	OMainLogicManager.STAT_TABLE	old=0x73a0	anchor-not-located
ANCHOR	OClient.INVENTORY_MANAGER	old=0x19550	manager-class-no-consensus:jag::game::InventoryManager
ANCHOR	OClient.PLAYER_VAR_DOMAIN	old=0x19b40	manager-class-no-consensus:jag::game::PlayerVarDomain
ANCHOR	OClient.PROJECTILE_LIST	old=0x194e8	recipe-error: back_scan not found for jag::ProjectileList::Add
ANCHOR	OWorld.LINK_MAP	old=0x14068	recipe-error: back_scan not found for jag::game::LinkMap::ReadTileFlags
ANCHOR	OClient.CAMERA.msvc	old=0x19858	recipe-error: back_scan not found for jag::game::Camera::ForceAngle
ANCHOR	OClient.INTERFACE_MANAGER.msvc	old=0x198c0	anchor-not-located
ANCHOR	OMainLogicManager.MOVE_BUFFER_BASE.msvc	old=0x4ec8	anchor-not-located
