direction,opcode,size,entry_addr,handler_addr,handler_name,handler_source,name,name_src
SERVER,0,2,0x01470720,0x000ee500,jag::PacketHandlers::UpdateRunweight,BINDER,UNKNOWN_0,NONE
SERVER,1,2,0x014719a0,0x0013a250,thunk_FUN_001394c0,BINDER,UNKNOWN_1,NONE
SERVER,2,10,0x01455300,0x00188140,FUN_00188140,BINDER,UNKNOWN_2,NONE
SERVER,3,-2,0x014552c0,0x001a4950,jag::PacketHandlers::UpdateFriendlist,BINDER,UNKNOWN_3,NONE
SERVER,4,6,0x01470ba0,0x000ed200,FUN_000ed200,BINDER,UNKNOWN_4,NONE
SERVER,5,35,0x01455280,0x00175fb0,FUN_00175fb0,BINDER,UNKNOWN_5,NONE
SERVER,6,3,0x01470e60,0x00116750,FUN_00116750,BINDER,UNKNOWN_6,NONE
SERVER,7,8,0x014700a0,0x00196cc0,FUN_00196cc0,BINDER,UNKNOWN_7,NONE
SERVER,8,-2,0x01455240,0x001aaed0,FUN_001aaed0,BINDER,UNKNOWN_8,NONE
SERVER,9,-1,0x01455200,0x00148400,FUN_00148400,BINDER,UNKNOWN_9,NONE
SERVER,10,3,0x014551c0,0x00176310,FUN_00176310,BINDER,UNKNOWN_10,NONE
SERVER,11,-2,0x01455180,0x000f75d0,FUN_000f75d0,BINDER,UNKNOWN_11,NONE
SERVER,12,4,0x014715a0,0x001579f0,FUN_001579f0,BINDER,UNKNOWN_12,NONE
SERVER,13,-1,0x01455140,0x000ed1c0,FUN_000ed1c0,BINDER,UNKNOWN_13,NONE
SERVER,14,3,0x01471620,0x00157e20,FUN_00157e20,BINDER,UNKNOWN_14,NONE
SERVER,15,10,0x01455100,0x000eff00,FUN_000eff00,BINDER,UNKNOWN_15,NONE
SERVER,16,5,0x014550c0,0x0011e1b0,FUN_0011e1b0,BINDER,UNKNOWN_16,NONE
SERVER,17,8,0x0146fee0,0x00187280,jag::PacketHandlers::IfSetnpchead,BINDER,UNKNOWN_17,NONE
SERVER,18,0,0x01455080,0x00177190,jag::PacketHandlers::FriendlistLoaded,BINDER,UNKNOWN_18,NONE
SERVER,19,-1,0x01455040,0x0017ba80,jag::PacketHandlers::DebugServerTriggers,BINDER,UNKNOWN_19,NONE
SERVER,20,0,0x01470fe0,0x00116c20,jag::PacketHandlers::ResetClientVarcache,BINDER,UNKNOWN_20,NONE
SERVER,21,-1,0x01455000,0x001436e0,jag::PacketHandlers::MessageGame,BINDER,UNKNOWN_21,NONE
SERVER,22,3,0x01470ee0,0x00116a30,jag::PacketHandlers::VarbitSmall,BINDER,UNKNOWN_22,NONE
SERVER,23,-1,0x01471a20,0x0013cce0,thunk_FUN_0013ade0,BINDER,UNKNOWN_23,NONE
SERVER,24,4,0x0146fea0,0x00187230,FUN_00187230,BINDER,UNKNOWN_24,NONE
SERVER,25,23,0x014703a0,0x0018a3d0,FUN_0018a3d0,BINDER,UNKNOWN_25,NONE
SERVER,26,-1,0x01454fc0,0x00149df0,jag::PacketHandlers::MessageFriendchannel,BINDER,UNKNOWN_26,NONE
SERVER,27,1,0x01454f80,0x00171430,jag::PacketHandlers::Cam2Enable,BINDER,UNKNOWN_27,NONE
SERVER,28,3,0x01471b20,0x000f9df0,thunk_FUN_000f83d0,BINDER,UNKNOWN_28,NONE
