direction,opcode,size,entry_addr,handler_addr,handler_name,handler_source,name,name_src
SERVER,0,2,0x01471720,0x000ee500,jag::PacketHandlers::UpdateRunweight,BINDER,UPDATE_RUNWEIGHT,KNOWN
SERVER,1,2,0x014729a0,0x0013ac10,jag::PacketHandlers::LocDel,BINDER,LOC_DEL,KNOWN
SERVER,2,10,0x01456300,0x00188b00,jag::PacketHandlers::SetInteractionTarget,BINDER,UNKNOWN_2,KNOWN
SERVER,3,-2,0x014562c0,0x001a5310,jag::PacketHandlers::UpdateFriendlist,BINDER,UPDATE_FRIENDLIST,KNOWN
SERVER,4,6,0x01471ba0,0x000ed200,jag::game::StatTable::UpdateStat,BINDER,UPDATE_STAT,KNOWN
SERVER,5,35,0x01456280,0x00176970,jag::PacketHandlers::UpdateStockmarketSlot,BINDER,UPDATE_STOCKMARKET_SLOT,KNOWN
SERVER,6,3,0x01471e60,0x00117110,jag::PacketHandlers::ClientSetvarcSmall,BINDER,CLIENT_SETVARC_SMALL,KNOWN
SERVER,7,8,0x014710a0,0x00197680,FUN_00197680,BINDER,UNKNOWN_7,KNOWN
SERVER,8,-2,0x01456240,0x001ab890,jag::PacketHandlers::UpdateInvFull,BINDER,UPDATE_INV_FULL,KNOWN
SERVER,9,-1,0x01456200,0x00148dc0,FUN_00148dc0,BINDER,UNKNOWN_9,KNOWN
SERVER,10,3,0x014561c0,0x00176cd0,jag::PacketHandlers::UpdateInvStopTransmit,BINDER,UNKNOWN_10,KNOWN
SERVER,11,-2,0x01456180,0x000f75d0,FUN_000f75d0,BINDER,UNKNOWN_11,KNOWN
SERVER,12,4,0x014725a0,0x001583b0,jag::PacketHandlers::ObjDelBig,BINDER,UNKNOWN_12,KNOWN
SERVER,13,-1,0x01456140,0x000ed1c0,jag::PacketHandlers::ServerReply,BINDER,SERVER_REPLY,KNOWN
SERVER,14,3,0x01472620,0x001587e0,jag::PacketHandlers::ObjDel,BINDER,OBJ_DEL,KNOWN
SERVER,15,10,0x01456100,0x000eff00,FUN_000eff00,BINDER,UNKNOWN_15,KNOWN
SERVER,16,5,0x014560c0,0x0011eb70,FUN_0011eb70,BINDER,UNKNOWN_16,KNOWN
SERVER,17,8,0x01470ee0,0x00187c40,jag::PacketHandlers::IfSetnpchead,BINDER,IF_SETNPCHEAD,KNOWN
SERVER,18,0,0x01456080,0x00177b50,jag::PacketHandlers::FriendlistLoaded,BINDER,FRIENDLIST_LOADED,KNOWN
SERVER,19,-1,0x01456040,0x0017c440,jag::PacketHandlers::DebugServerTriggers,BINDER,DEBUG_SERVER_TRIGGERS,KNOWN
SERVER,20,0,0x01471fe0,0x001175e0,jag::PacketHandlers::ResetClientVarcache,BINDER,RESET_CLIENT_VARCACHE,KNOWN
SERVER,21,-1,0x01456000,0x001440a0,jag::PacketHandlers::MessageGame,BINDER,MESSAGE_GAME,KNOWN
SERVER,22,3,0x01471ee0,0x001173f0,jag::PacketHandlers::VarbitSmall,BINDER,VARBIT_SMALL,KNOWN
SERVER,23,-1,0x01472a20,0x0013d6a0,thunk_FUN_0013b7a0,BINDER,UNKNOWN_23,KNOWN
SERVER,24,4,0x01470ea0,0x00187bf0,jag::PacketHandlers::IfSetplayerhead,BINDER,IF_SETPLAYERHEAD,KNOWN
SERVER,25,23,0x014713a0,0x0018ad90,jag::PacketHandlers::IfOpensub,BINDER,IF_OPENSUB,KNOWN
